sex,Reoffender,race_B,race_I,race_U,race_W,age_group_21-30,age_group_31-40,age_group_41-60,age_group_61+,time_of_day_Evening,time_of_day_Morning,time_of_day_Night
0,1,True,False,False,False,False,False,False,False,True,False,False
1,1,True,False,False,False,True,False,False,False,True,False,False
1,1,True,False,False,False,False,False,True,False,True,False,False
1,0,True,False,False,False,False,True,False,False,False,False,True
0,1,True,False,False,False,False,False,True,False,False,False,True
1,0,True,False,False,False,True,False,False,False,False,False,True
1,1,True,False,False,False,False,True,False,False,False,False,True
1,1,True,False,False,False,False,False,False,False,False,False,True
1,0,True,False,False,False,False,False,True,False,False,False,True
1,0,True,False,False,False,True,False,False,False,False,False,True
1,1,True,False,False,False,True,False,False,False,False,False,True
1,0,False,False,False,True,True,False,False,False,False,False,True
0,0,False,False,False,True,True,False,False,False,False,False,True
0,0,False,False,False,True,True,False,False,False,False,True,False
1,1,True,False,False,False,True,False,False,False,False,True,False
1,0,True,False,False,False,False,False,False,True,False,True,False
1,1,True,False,False,False,False,False,True,False,False,True,False
1,1,False,False,False,True,False,False,True,False,False,False,False
0,1,False,False,False,True,True,False,False,False,False,True,False
0,0,False,False,False,True,False,False,True,False,False,False,False
1,1,True,False,False,False,True,False,False,False,False,False,False
1,1,True,False,False,False,True,False,False,False,False,False,False
1,0,True,False,False,False,True,False,False,False,False,True,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,0,True,False,False,False,False,False,True,False,False,False,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,1,True,False,False,False,False,True,False,False,True,False,False
1,0,False,False,False,True,False,True,False,False,True,False,False
1,0,False,False,False,True,False,True,False,False,True,False,False
1,1,True,False,False,False,False,False,True,False,True,False,False
0,0,False,False,False,True,False,False,False,False,True,False,False
1,0,False,False,False,True,False,True,False,False,True,False,False
0,0,False,False,False,True,False,False,False,False,True,False,False
0,0,False,False,False,True,False,False,False,False,True,False,False
1,1,True,False,False,False,False,False,False,True,False,False,True
1,1,True,False,False,False,False,False,False,False,False,False,True
1,1,False,False,False,True,False,False,True,False,True,False,False
1,0,False,False,False,True,True,False,False,False,False,False,True
0,0,False,False,False,True,True,False,False,False,True,False,False
1,0,False,False,False,True,True,False,False,False,False,False,True
0,0,True,False,False,False,False,False,False,False,False,False,True
1,1,False,False,False,True,False,True,False,False,True,False,False
0,0,False,False,False,True,True,False,False,False,False,False,True
1,1,False,False,False,True,False,False,False,False,False,False,True
1,1,False,False,False,True,False,False,False,False,False,False,True
1,0,True,False,False,False,True,False,False,False,False,False,True
1,1,False,False,False,True,True,False,False,False,False,False,True
1,1,True,False,False,False,False,False,True,False,False,False,True
1,1,True,False,False,False,False,True,False,False,False,False,True
1,0,True,False,False,False,True,False,False,False,False,False,False
1,1,True,False,False,False,False,True,False,False,False,True,False
1,1,True,False,False,False,False,True,False,False,False,False,False
1,1,True,False,False,False,True,False,False,False,False,False,False
1,0,True,False,False,False,False,False,True,False,False,False,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,1,True,False,False,False,True,False,False,False,True,False,False
1,0,True,False,False,False,True,False,False,False,True,False,False
1,1,True,False,False,False,False,False,True,False,True,False,False
1,0,False,False,False,True,False,True,False,False,False,False,True
1,0,True,False,False,False,True,False,False,False,True,False,False
1,0,False,False,False,True,False,True,False,False,False,False,True
1,0,False,False,False,True,False,False,False,False,False,False,True
0,0,False,False,False,True,True,False,False,False,False,False,True
1,0,False,False,False,True,False,False,False,False,False,False,True
1,0,False,False,False,True,False,False,False,False,False,False,True
1,1,True,False,False,False,True,False,False,False,False,True,False
1,0,False,False,False,True,False,True,False,False,False,False,False
1,1,True,False,False,False,False,True,False,False,False,False,False
1,1,False,False,False,True,False,False,True,False,False,False,False
1,1,False,False,False,True,False,False,True,False,False,False,False
1,0,True,False,False,False,False,False,True,False,False,True,False
1,1,True,False,False,False,False,True,False,False,False,False,False
1,0,True,False,False,False,True,False,False,False,False,True,False
1,0,True,False,False,False,True,False,False,False,False,True,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,1,False,False,False,True,False,True,False,False,False,False,False
1,0,True,False,False,False,False,False,True,False,False,False,False
1,1,False,False,False,True,False,True,False,False,False,False,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,1,False,False,False,True,True,False,False,False,False,False,False
1,1,True,False,False,False,True,False,False,False,False,False,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,0,False,False,False,True,False,True,False,False,False,False,False
1,0,False,False,False,True,True,False,False,False,True,False,False
1,1,False,False,False,True,False,True,False,False,False,False,True
1,0,True,False,False,False,False,False,False,False,False,False,True
1,0,False,False,False,True,False,False,False,False,False,False,True
0,0,False,False,False,True,True,False,False,False,False,False,True
0,0,True,False,False,False,False,False,False,False,False,True,False
1,1,False,False,False,True,False,False,True,False,False,True,False
1,1,True,False,False,False,True,False,False,False,False,True,False
1,1,True,False,False,False,True,False,False,False,False,True,False
1,1,True,False,False,False,True,False,False,False,False,True,False
1,1,True,False,False,False,False,False,False,False,False,True,False
0,0,True,False,False,False,False,False,False,False,False,False,False
1,0,True,False,False,False,False,True,False,False,False,False,False
0,0,True,False,False,False,False,False,False,False,False,False,False
1,0,False,False,False,True,False,False,True,False,False,False,False
1,0,False,False,False,True,False,True,False,False,False,False,False
0,1,False,False,False,True,True,False,False,False,False,False,False
0,0,False,False,False,True,False,False,True,False,True,False,False
0,0,False,False,False,True,False,False,False,False,False,False,False
1,0,False,False,False,True,False,False,True,False,True,False,False
1,0,False,False,False,True,False,True,False,False,True,False,False
1,1,True,False,False,False,False,False,True,False,True,False,False
1,0,True,False,False,False,False,True,False,False,True,False,False
1,0,False,False,False,True,False,False,True,False,True,False,False
1,1,False,False,False,True,False,False,True,False,True,False,False
1,0,True,False,False,False,False,False,False,False,False,False,True
1,1,True,False,False,False,False,False,True,False,True,False,False
1,0,False,False,False,True,False,False,False,False,False,False,True
1,0,False,False,False,True,True,False,False,False,False,False,True
1,0,False,False,False,True,False,True,False,False,False,False,True
1,1,True,False,False,False,False,False,True,False,False,False,True
1,0,True,False,False,False,False,True,False,False,False,False,True
1,0,False,False,False,True,True,False,False,False,False,False,True
1,0,False,False,False,True,True,False,False,False,False,False,True
0,0,False,False,False,True,True,False,False,False,False,False,True
1,0,False,False,False,True,True,False,False,False,False,False,True
1,0,False,False,False,True,True,False,False,False,False,True,False
1,1,True,False,False,False,False,False,True,False,False,True,False
1,0,False,False,False,True,False,False,True,False,False,False,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,1,True,False,False,False,False,False,True,False,False,False,False
1,0,True,False,False,False,False,False,True,False,False,False,False
1,1,False,False,False,True,True,False,False,False,False,False,True
1,0,False,False,False,True,True,False,False,False,True,False,False
1,1,False,False,False,True,False,True,False,False,True,False,False
1,1,False,False,False,True,False,True,False,False,True,False,False
1,1,True,False,False,False,False,False,True,False,False,False,True
1,1,True,False,False,False,False,False,True,False,False,False,True
1,0,True,False,False,False,True,False,False,False,False,False,True
1,0,True,False,False,False,False,True,False,False,True,False,False
